time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876266.814000 877 -236 -334 -360 -121 590 -1.412347e-01 8.380088e-01 2.327260e-01 4.728982e-01 0 0 0 0 0 0 0 0 0 0 0 1.302691
1595876266.867000 877 -236 -334 -360 -121 590 -1.412347e-01 8.380088e-01 2.327260e-01 4.728982e-01 74 -960 115 165 -14 33 6 -7.296707e-01 -2.463974e-01 -6.060753e-01 1.988513e-01 1.268243
1595876266.914000 937 -206 -312 590 -127 -205 -1.611931e-01 8.351399e-01 2.381580e-01 4.688698e-01 72 -960 115 165 -14 33 6 -7.296707e-01 -2.463974e-01 -6.060753e-01 1.988513e-01 1.234799
1595876266.967000 937 -206 -312 590 -127 -205 -1.611931e-01 8.351399e-01 2.381580e-01 4.688698e-01 74 -960 115 165 -14 33 6 -7.296707e-01 -2.463974e-01 -6.060753e-01 1.988513e-01 1.174632
1595876267.014000 891 -173 -394 715 196 -346 -1.971448e-01 8.195240e-01 2.750261e-01 4.624662e-01 69 -959 121 161 -28 -22 -2 -7.306515e-01 -2.454223e-01 -6.054685e-01 1.983031e-01 1.124213
1595876267.067000 891 -173 -394 715 196 -346 -1.971448e-01 8.195240e-01 2.750261e-01 4.624662e-01 68 -959 121 161 -28 -22 -2 -7.306515e-01 -2.454223e-01 -6.054685e-01 1.983031e-01 1.078861
1595876267.114000 1099 -225 -563 584 52 -256 -2.217430e-01 8.036582e-01 3.070710e-01 4.589891e-01 72 -949 123 142 -20 -40 26 -7.322905e-01 -2.448089e-01 -6.039352e-01 1.976904e-01 1.032017
1595876267.167000 1099 -225 -563 584 52 -256 -2.217430e-01 8.036582e-01 3.070710e-01 4.589891e-01 73 -949 123 142 -20 -40 26 -7.322905e-01 -2.448089e-01 -6.039352e-01 1.976904e-01 0.960655
1595876267.214000 846 -205 -413 1138 536 10 -2.628816e-01 7.785737e-01 3.370402e-01 4.594781e-01 69 -949 110 139 -34 -14 24 -7.337474e-01 -2.441959e-01 -6.029521e-01 1.960403e-01 0.889324
1595876267.314000 925 -224 -567 1240 196 363 -3.337981e-01 7.508473e-01 3.586391e-01 4.429279e-01 66 -942 108 144 -18 9 4 -7.341854e-01 -2.438943e-01 -6.027778e-01 1.953108e-01 0.782970
1595876267.414000 844 -335 -381 1131 757 114 -3.971618e-01 7.168688e-01 3.716487e-01 4.361638e-01 66 -950 105 143 11 22 -14 -7.337958e-01 -2.435203e-01 -6.032469e-01 1.957928e-01 0.680580
1595876267.514000 813 -298 -395 1300 -69 635 -4.612459e-01 6.875048e-01 3.882474e-01 4.047880e-01 58 -945 104 145 29 39 -25 -7.325340e-01 -2.437101e-01 -6.044229e-01 1.966526e-01 0.545630
1595876267.614000 813 -296 -290 852 334 706 -5.241004e-01 6.642348e-01 3.828063e-01 3.709046e-01 59 -958 119 145 26 40 -45 -7.300141e-01 -2.437653e-01 -6.067277e-01 1.988451e-01 0.467136
1595876267.667000 813 -296 -290 852 334 706 -5.241004e-01 6.642348e-01 3.828063e-01 3.709046e-01 60 -958 119 145 26 40 -45 -7.300141e-01 -2.437653e-01 -6.067277e-01 1.988451e-01 0.418014
1595876267.714000 870 -312 -298 288 32 440 -5.560232e-01 6.582558e-01 3.707839e-01 3.464922e-01 56 -957 124 144 21 17 4 -7.288066e-01 -2.446241e-01 -6.074711e-01 1.999473e-01 0.379521
1595876267.767000 870 -312 -298 288 32 440 -5.560232e-01 6.582558e-01 3.707839e-01 3.464922e-01 55 -957 124 144 21 17 4 -7.288066e-01 -2.446241e-01 -6.074711e-01 1.999473e-01 0.346758
1595876267.814000 800 -295 -157 77 -164 133 -5.677354e-01 6.581873e-01 3.612584e-01 3.375773e-01 55 -955 119 150 -3 18 26 -7.284607e-01 -2.458517e-01 -6.075490e-01 1.994646e-01 0.323421
1595876267.867000 800 -295 -157 77 -164 133 -5.677354e-01 6.581873e-01 3.612584e-01 3.375773e-01 53 -955 119 150 -3 18 26 -7.284607e-01 -2.458517e-01 -6.075490e-01 1.994646e-01 0.298981
1595876267.914000 978 -318 -368 -307 -476 -614 -5.514024e-01 6.631599e-01 3.801344e-01 3.341740e-01 53 -960 113 145 -37 11 22 -7.286508e-01 -2.457930e-01 -6.079821e-01 1.975133e-01 0.283929
1595876267.967000 978 -318 -368 -307 -476 -614 -5.514024e-01 6.631599e-01 3.801344e-01 3.341740e-01 53 -960 113 145 -37 11 22 -7.286508e-01 -2.457930e-01 -6.079821e-01 1.975133e-01 0.273632
1595876268.014000 884 -212 -257 -69 -81 -501 -5.324098e-01 6.540528e-01 4.108277e-01 3.463746e-01 54 -945 98 150 -96 41 -7 -7.287721e-01 -2.442668e-01 -6.091411e-01 1.953768e-01 0.263958
1595876268.068000 884 -212 -257 -69 -81 -501 -5.324098e-01 6.540528e-01 4.108277e-01 3.463746e-01 56 -945 98 150 -96 41 -7 -7.287721e-01 -2.442668e-01 -6.091411e-01 1.953768e-01 0.265119
